% Experimental spectrum data
% wavelength intensity
400  14.78
410  18.04
420  31.23
430  50.26
440  87.47
450  137.69
460  196.14
470  270.24
480  369.05
490  481.21
500  614.87
510  730.82
520  835.72
530  926.02
540  980.39
550  1000.56
560  979.20
570  926.94
580  827.10
590  729.68
600  610.35
610  489.52
620  370.59
630  275.56
640  193.17
650  132.45
660  84.35
670  47.83
680  28.68
690  23.93
700  10.19
710  1.49
720  0.00
730  3.33
740  0.00
750  0.00
760  0.00
770  0.00
780  4.79
790  0.00
